Time,Front Wheel Input,Front Wheel Ticks,Front Wheel Speed
20713,50,6170,-84.93
20823,50,5758,-84.93
20933,50,5344,-87.23
21043,50,4929,-87.23
21153,50,4519,-84.93
21795,50,2121,-87.23
21905,50,1709,-87.23
22015,50,1295,-87.23
22125,50,881,-84.93
22235,50,471,-84.93
24089,-50,-5346,84.93
24199,-50,-4943,84.93
24309,-50,-4538,84.93
24419,-50,-4133,82.64
24529,-50,-3732,84.93
25171,-50,-1378,84.93
25281,-50,-973,84.93
25391,-50,-566,84.93
25501,-50,-160,84.93
25611,-50,242,82.64
26253,-50,2601,84.93
26363,-50,3007,84.93
26473,-50,3415,84.93
26583,-50,3820,82.64
26794,-50,4593,84.93
26904,-50,4999,87.23
27014,-50,5407,87.23
27124,-50,5812,84.93
27234,-50,6215,84.93
27876,-50,8577,84.93
27986,-50,8984,84.93
28096,-50,9392,84.93
28206,-50,9797,84.93
28316,-50,10200,84.93
28427,-50,10607,84.93
28537,-50,11015,84.93
28647,-50,11423,84.93
28757,-50,11826,82.64
28867,-50,12231,87.23
28977,50,12398,-68.86
29088,50,12002,-84.93
29198,50,11592,-84.93
29308,50,11179,-84.93
29418,50,10765,-87.23
29528,50,10356,-84.93
30170,50,7961,-87.23
30280,50,7549,-87.23
30390,50,7135,-87.23
30500,50,6721,-87.23
30610,50,6312,-84.93
31252,50,3913,-87.23
31362,50,3499,-87.23
31472,50,3084,-87.23
31582,50,2671,-87.23
31692,50,2261,-87.23
32334,50,-141,-87.23
32444,50,-556,-87.23
32554,50,-971,-87.23
32664,50,-1383,-87.23
32774,50,-1793,-84.93
33416,50,-4196,-87.23
33526,50,-4612,-89.52
33636,50,-5026,-84.93
33746,50,-5436,-84.93
33856,50,-5848,-87.23
33966,-50,-6148,41.32
34608,-50,-3833,82.64
34718,-50,-3429,84.93
34828,-50,-3024,84.93
34938,-50,-2617,84.93
35048,-50,-2210,84.93
35690,-50,144,82.64
35800,-50,549,84.93
35910,-50,955,84.93
36020,-50,1363,87.23
36130,-50,1769,84.93
36772,-50,4124,82.64
36882,-50,4530,84.93
36992,-50,4936,84.93
37102,-50,5344,84.93
37212,-50,5750,84.93
37854,-50,8108,84.93
37964,-50,8515,87.23
38074,-50,8921,84.93
38184,-50,9330,84.93
38294,-50,9735,82.64
38405,-50,10139,84.93
38515,-50,10545,82.64
38625,-50,10953,84.93
38735,-50,11361,82.64
38845,-50,11765,82.64
38955,50,12154,48.20
39597,50,9841,-87.23
39707,50,9428,-87.23
39817,50,9014,-87.23
39927,50,8600,-87.23
40037,50,8190,-87.23
40679,50,5787,-84.93
40789,50,5372,-84.93
40899,50,4956,-87.23
41009,50,4543,-87.23
41119,50,4133,-84.93
41761,50,1727,-87.23
41871,50,1312,-87.23
41981,50,897,-87.23
42091,50,487,-84.93
42201,50,75,-87.23
42843,50,-2326,-87.23
42953,50,-2741,-84.93
43063,50,-3155,-87.23
